repo_name,repo_url,stars,contributors,commits,update_date,forks
2021SpringGroup7,https://github.com/bounswe/2021SpringGroup7,7,11,1354,2022-01-12 20:39:46,0
awx,https://github.com/ansible/awx,12806,277,33692,2024-01-30 00:48:53,3304
TRCustoms,https://github.com/rr-/TRCustoms,7,2,877,2023-09-11 14:37:39,1
vmprof-server,https://github.com/vmprof/vmprof-server,31,14,482,2022-04-29 14:31:11,24
acceslibre,https://github.com/MTES-MCT/acceslibre,17,7,2831,2024-01-29 15:37:19,7
policykit,https://github.com/policykit/policykit,111,15,2928,2023-06-30 14:41:11,23
wger,https://github.com/wger-project/wger,2531,145,7216,2024-01-30 08:47:14,497
tfrs,https://github.com/bcgov/tfrs,22,32,2507,2024-01-29 19:47:26,40
metagrid,https://github.com/aims-group/metagrid,13,8,921,2024-01-19 20:15:32,3
vmb,https://github.com/jpsoffice/vmb,6,4,614,2023-02-17 05:27:30,5
racetime-app,https://github.com/racetimeGG/racetime-app,42,15,806,2023-10-17 08:04:12,19
Hypermap-Registry,https://github.com/cga-harvard/Hypermap-Registry,36,11,760,2023-03-08 00:51:37,20
reminiscence,https://github.com/kanishka-linux/reminiscence,1684,4,512,2021-08-21 13:58:37,90
archerysec,https://github.com/archerysec/archerysec,2142,19,1431,2024-01-29 11:32:43,511
configdb,https://github.com/observatorycontrolsystem/configdb,2,8,339,2023-02-28 19:18:12,4
Foodsquare-Web-App,https://github.com/Subangkar/Foodsquare-Web-App,18,4,418,2020-08-08 16:57:38,14
researchhub-backend,https://github.com/ResearchHub/researchhub-backend,18,18,6635,2024-01-19 23:07:02,16
djndonacije,https://github.com/danesjenovdan/djndonacije,2,6,452,2024-01-24 15:16:43,0
Pytition,https://github.com/pytition/Pytition,96,31,699,2023-12-17 12:53:01,26
WebODM,https://github.com/OpenDroneMap/WebODM,2418,80,2416,2024-01-16 18:47:06,847
lama,https://github.com/michigg/lama,7,2,330,2020-02-18 18:11:10,0
instrumentdb,https://github.com/actris-cloudnet/instrumentdb,3,2,172,2024-01-10 15:34:32,0
capstone,https://github.com/harvard-lil/capstone,163,15,5818,2024-01-25 17:12:38,44
OpenMorningstar,https://github.com/HenryJi529/OpenMorningstar,8,2,970,2024-01-25 14:13:02,4
DataCulturePro,https://github.com/f80dev/DataCulturePro,2,2,193,2023-12-21 08:33:47,0
edegal,https://github.com/con2/edegal,6,4,530,2023-10-20 10:13:37,3
routechoices-server,https://github.com/routechoices/routechoices-server,12,4,2982,2024-01-30 12:52:40,2
portfolio,https://github.com/WayneLambert/portfolio,5,3,1109,2023-12-11 14:18:11,1
TANGO,https://github.com/ML-TANGO/TANGO,60,25,650,2023-12-07 06:18:14,19
influence-texas,https://github.com/open-austin/influence-texas,40,13,375,2021-04-14 23:53:52,19
daviplan,https://github.com/GertzGutscheRuemenapp/daviplan,4,3,2728,2023-10-25 09:55:29,1
COMP3030J-Software-Engineering-Project-Musical-Instrument-Shop,https://github.com/echo-cool/COMP3030J-Software-Engineering-Project-Musical-Instrument-Shop,11,4,2066,2023-05-15 09:05:49,2
ngt-archive,https://github.com/NGEET/ngt-archive,8,5,464,2024-01-26 00:53:39,3
UP-admin,https://github.com/rodlukas/UP-admin,4,2,1974,2023-12-17 19:40:41,4
Ghostwriter,https://github.com/GhostManager/Ghostwriter,1074,11,2377,2024-01-26 00:27:06,161
WebODM-b3d,https://github.com/anup39/WebODM-b3d,2,73,2524,2023-06-29 08:52:41,0
crowdsource-tool,https://github.com/dataset-vn/crowdsource-tool,2,33,559,2021-07-23 08:31:53,0
carbure,https://github.com/MTES-MCT/carbure,5,8,5606,2024-01-22 10:13:38,2
tournesol,https://github.com/tournesol-app/tournesol,302,45,1492,2024-01-30 09:56:45,43
itou,https://github.com/betagouv/itou,25,31,9468,2023-11-17 08:18:55,22
COMP90024_Team29,https://github.com/gusyi/COMP90024_Team29,4,4,154,2020-06-15 11:54:19,0
kausal-watch,https://github.com/kausaltech/kausal-watch,3,3,665,2021-06-11 12:40:54,0
memories,https://github.com/danangharissetiawan/memories,2,3,99,2024-01-18 10:58:52,0
weitblick-website,https://github.com/weitblicker/weitblick-website,6,11,974,2022-10-16 13:50:45,0
healthchecks,https://github.com/healthchecks/healthchecks,6736,81,2832,2024-01-29 09:31:05,730
karrio,https://github.com/karrioapi/karrio,318,12,3511,2024-01-29 16:03:55,50
platform,https://github.com/pennlabs/platform,22,16,484,2024-01-03 08:30:57,2
frrant,https://github.com/UCL/frrant,2,7,1397,2024-01-29 11:30:40,0
TyphoonSearchSys,https://github.com/evaseemefly/TyphoonSearchSys,22,2,342,2022-12-26 08:55:37,13
boat,https://github.com/furkanakkurt1335/boat,3,3,477,2023-11-14 11:54:31,0
dfirtrack,https://github.com/dfirtrack/dfirtrack,448,12,2402,2023-10-27 21:02:32,79
ngen,https://github.com/CERTUNLP/ngen,4,5,455,2024-01-23 15:01:44,0
dtp-stat,https://github.com/dtpstat/dtp-stat,5,8,225,2023-08-13 03:58:31,0
rainbond-console,https://github.com/goodrain/rainbond-console,56,33,6847,2023-11-20 03:40:19,72
celery_blast,https://github.com/Kanomble/celery_blast,2,3,508,2023-11-15 17:36:15,1
carbon0-web-app,https://github.com/Carbon0-Games/carbon0-web-app,5,6,969,2021-10-03 17:26:24,1
CueObserve,https://github.com/cuebook/CueObserve,194,9,617,2022-02-23 19:51:23,23
MC-2,https://github.com/MC-2-Lab/MC-2,10,4,424,2023-11-17 12:22:38,9
acordb,https://github.com/gweebg/acordb,2,3,194,2023-07-02 23:06:23,1
SQL-Train,https://github.com/hochschule-augsburg/SQL-Train,6,4,163,2023-12-19 21:49:26,0
prs,https://github.com/dbca-wa/prs,2,4,1099,2024-01-18 07:32:17,5
kubeportal,https://github.com/kubeportal/kubeportal,6,7,821,2022-08-18 08:11:54,3
katalogas,https://github.com/atviriduomenys/katalogas,14,5,1977,2024-01-29 13:20:46,1
SWP_sport_back,https://github.com/InnopolisSport/SWP_sport_back,7,14,1907,2024-01-06 20:10:56,8
peeringdb,https://github.com/peeringdb/peeringdb,313,30,644,2024-01-30 04:11:08,110
medtag-core,https://github.com/MedTAG/medtag-core,10,3,102,2023-01-01 09:23:57,4
cruise-screening,https://github.com/ProjectDossier/cruise-screening,5,11,197,2023-10-20 07:26:56,0
Verilog-OJ,https://github.com/YAVGroup/Verilog-OJ,70,11,573,2023-12-13 09:25:36,10
admapp,https://github.com/jittat/admapp,8,12,1478,2024-01-29 21:12:35,2
FIR,https://github.com/certsocietegenerale/FIR,1615,24,508,2023-11-27 16:59:36,503
Conreq,https://github.com/Archmonger/Conreq,144,6,1733,2023-07-12 05:27:16,10
nfcompose,https://github.com/neuroforgede/nfcompose,21,2,194,2024-01-23 19:37:01,1
ArchiveBox,https://github.com/ArchiveBox/ArchiveBox,17183,104,3416,2024-01-28 07:34:26,1021
InvenTree,https://github.com/inventree/InvenTree,3174,77,14960,2024-01-30 05:36:32,555
nmp-arm,https://github.com/bcgov/nmp-arm,2,7,163,2022-10-20 21:58:34,5
generator-meme,https://github.com/generator-meme/generator-meme,8,11,1036,2023-11-15 17:15:56,2
swarfarm,https://github.com/swarfarm/swarfarm,111,11,3264,2024-01-30 16:09:51,38
externallinks,https://github.com/WikipediaLibrary/externallinks,6,10,567,2023-11-27 20:35:07,5
camerahub,https://github.com/camerahub/camerahub,8,3,1869,2024-01-08 16:19:26,1
ticketvise,https://github.com/TicketVise/ticketvise,15,4,1371,2024-01-29 06:23:15,2
specify7,https://github.com/specify/specify7,58,29,9808,2023-11-20 05:12:03,34
video-headline,https://github.com/qualabs/video-headline,2,13,130,2023-12-05 19:07:55,0
Oryx,https://github.com/microsoft/Oryx,637,43,1630,2024-01-26 20:36:35,151
open_source_mapping_portal,https://github.com/mkeller3/open_source_mapping_portal,2,2,118,2021-09-25 12:30:05,0
beacon2-ri-api,https://github.com/EGA-archive/beacon2-ri-api,11,9,886,2023-11-13 15:30:05,26
ulti-players,https://github.com/oefsv/ulti-players,5,3,285,2023-12-15 08:26:26,1
